,tone_avg
1224,-2.6533997
1225,1.0401188
1226,-6.4
1227,-2.7586207
1228,-3.5897436
1229,-1.0395011
1230,-2.1786492
1231,3.3980582
1232,-2.4806201
1233,-2.3952096
1234,-4.2145596
1235,1.4705882
1236,0.78492934
1237,-5.5944057
1238,1.9914651
1239,-8.354755
1240,-3.4364262
1241,-1.1627907
1242,-3.307393
1243,-8.705882
1244,-1.0189228
1245,-1.6806723
1246,-4.716981
1247,-1.1049724
1248,2.8368795
1249,-6.730769
1250,-2.65252
1251,-1.7777778
1252,-4.700855
1253,0.37878788
1254,-2.8169014
1255,-7.2289157
1256,-3.9215686
1257,0.78125
1258,-2.5531914
1259,-7.6311607
1260,-6.6666665
1261,-4.134367
1262,-4.449649
1263,0.2680965
1264,-1.8779342
1265,0.5449591
1266,-2.8985507
1267,1.8518518
1268,3.6697247
1269,1.866252
1270,0.0
1271,-3.0
1272,0.0
1273,2.0270271
1274,-9.195402
1275,13.380281
1276,3.2258065
1277,2.016129
1278,3.4013605
1279,6.451613
1280,-2.7777777
1281,2.9629629
1282,-6.3106794
1283,-2.7842228
1284,-3.9145908
1285,-4.0540543
1286,0.0
1287,-4.5801525
1288,-7.5757575
1289,-1.0204082
1290,-0.9248555
1291,-1.5904572
1292,-2.4182076
1293,0.13661203
1294,-1.1286682
1295,-1.0767161
1296,-1.0256411
1297,-1.7580144
1298,-1.3869625
1299,-1.1167513
1300,-0.6937562
1301,-1.0090817
1302,-1.0365853
1303,-2.0597322
1304,-1.0460252
1305,-1.8030514
1306,-1.6236867
1307,-1.4574898
1308,-1.4527845
1309,-1.8126888
1310,-1.2692657
1311,-1.2358394
1312,-1.4213198
1313,-2.4161074
1314,-2.7921407
1315,-2.0100503
1316,-1.5075377
1317,-1.6260163
1318,-1.4986376
1319,-1.754386
1320,2.9411764
1321,3.4782608
1322,-1.5503876
1323,2.1276596
1324,-6.6037736
1325,-2.5510204
1326,18.421053
1327,-3.041825
1328,-4.3010755
1329,1.8556701
1330,-2.9486098
1331,-4.9382715
1332,1.590106
1333,-2.5641026
1334,1.590106
1335,-8.130081
1336,17.391304
1337,-2.739726
1338,-2.7972028
1339,7.216495
1340,-0.9174312
1341,-8.130081
1342,-1.5151515
1343,-4.1564794
1344,0.0
1345,1.9354838
1346,0.3846154
1347,2.9962547
1348,-0.47074646
1349,0.6103764
1350,0.88235295
1351,1.0050251
1352,-2.5287356
1353,0.0
1354,-6.9148936
1355,2.9411764
1356,0.0
1357,-1.2658228
1358,-2.7732463
1359,-6.9565215
1360,-2.4767802
1361,-1.3910356
1362,2.670623
1363,-3.7037036
1364,0.0
1365,-5.1282053
1366,2.5641026
1367,0.0
1368,-5.849582
1369,-2.3861172
1370,0.5025126
1371,-0.28490028
1372,-1.4705882
1373,1.8292683
1374,1.3559322
1375,-0.1736111
1376,-3.4168565
1377,0.859375
1378,0.0
1379,0.23866348
1380,-1.1682243
1381,-3.4035656
1382,-5.865103
1383,-6.111111
1384,-0.789177
1385,-0.30120483
1386,-3.3057852
1387,-3.0716724
1388,-0.7662835
1389,3.9817975
1390,0.8450704
1391,-6.314244
1392,-0.48076922
1393,0.5602241
1394,-9.191759
1395,-2.1097047
1396,-2.6666667
1397,-1.7673049
1398,-3.508772
1399,-2.9745042
1400,0.0
1401,0.0
1402,-6.060606
1403,-5.188679
1404,-5.6074767
1405,-0.5555556
1406,-6.6350713
1407,-5.050505
1408,-2.5700934
1409,-0.3164557
1410,-1.3179572
1411,-4.7619047
1412,-7.5268817
1413,1.8292683
1414,2.294455
1415,-5.0
1416,-1.3157895
1417,-3.6363637
1418,-2.118644
1419,1.4134276
1420,1.3774104
1421,-6.8702292
1422,-6.278027
1423,-4.1666665
1424,-9.649123
1425,-7.4324327
1426,-3.1746032
1427,-7.5342464
1428,-13.793103
1429,-6.140351
1430,-8.695652
1431,-0.27322406
1432,-7.5757575
1433,-0.7185629
1434,-2.4752476
1435,-1.8487395
1436,0.18416207
1437,-6.6985645
1438,-1.1952192
1439,-3.6190476
1440,-2.0449898
1441,-3.125
1442,-3.5135136
1443,-5.147059
1444,0.36900368
1445,-1.6949153
1446,-2.7888446
1447,1.7241379
1448,-6.451613
1449,-7.518797
1450,-0.8333333
1451,-7.76699
1452,-3.4482758
1453,-1.9230769
1454,-2.5373135
1455,-1.3192612
1456,1.5503876
1457,0.0
1458,-0.7518797
1459,-4.237288
1460,-3.8781164
1461,-3.8461537
1462,-1.0676156
1463,-3.7572255
1464,-5.074627
1465,-4.316547
1466,3.7414966
1467,-3.2407408
1468,-3.6
1469,1.9480519
1470,7.9155674
1471,1.2195122
1472,0.9009009
1473,-2.0
1474,-5.5555553
1475,1.2195122
1476,-1.4705882
1477,-3.2786884
1478,-4.8672566
1479,2.849741
1480,0.0
1481,-6.134969
1482,-2.8248587
1483,-2.3310022
1484,0.8356546
1485,3.75
1486,0.0
1487,1.0638298
1488,3.2608695
1489,-4.8192773
1490,-5.940594
1491,-2.5316455
1492,-2.5
1493,-0.44642857
1494,0.9202454
1495,-3.960396
1496,-2.1978023
1497,-14.556962
1498,-2.173913
1499,-2.1825397
1500,-5.1546392
1501,-2.2222223
1502,1.8018018
1503,-4.511278
1504,1.4814814
1505,-1.0526316
1506,-4.8
1507,0.42918456
1508,10.10101
1509,-4.693141
1510,-2.3809524
1511,-6.094808
1512,-2.0057306
1513,-3.9800994
1514,-7.2254333
1515,-5.673759
1516,-2.097902
1517,-1.4336917
