,ISO,RANK_FREEDOM,COUNTRY,ABUSE_SCORE,PROGRESS_FREEDOM,Rank 2018,Score 2018,ZONE,culture,wld.reg1,gene.5ht,hpp.9,hpp.z9,hpp.z8xl,hpp.z8xt,hpp.z7,hpp.z6,hpp.bst,hpp.ind.bst,gdp.who,gdp.wb,gdp.fact,pop.dens,lat.popu,lat.cent,new.gini,sexratio,sex.rat,soi.tot,soi.male,soi.fem,soi.sexd,b5m.neu,b5m.ext,b5m.ope,b5m.agr,b5m.con,acqui.m,b5s.ext,b5s.agr,b5s.con,b5s.neu,b5s.ope,b5.2.ext,b5.2.ope,b5.2.neu,b5.2.agr,b5.2.con,ind.hof,ind.suh,col.gelf,col.pron,food.spc,food.plt,food.per,pat.lei,pat.sch,pat.fil,pat.lep,pat.thu,pat.mal,pat.trp,pat.tb,pat.den,conform,wvs.ind,wvs.obe,wvs.rac,wvs.rel1,hdi,lif.sat,sat.inq,left.wri,left.gen,b5fs.n1,b5fs.n2,b5fs.n3,b5fs.n4,b5fs.n5,b5fs.n6,b5fs.e1,b5fs.e2,b5fs.e3,b5fs.e4,b5fs.e5,b5fs.e6,b5fs.o1,b5fs.o2,b5fs.o3,b5fs.o4,b5fs.o5,b5fs.o6,b5fs.a1,b5fs.a2,b5fs.a3,b5fs.a4,b5fs.a5,b5fs.a6,b5fs.c1,b5fs.c2,b5fs.c3,b5fs.c4,b5fs.c5,b5fs.c6,b5fo.n1,b5fo.n2,b5fo.n3,b5fo.n4,b5fo.n5,b5fo.n6,b5fo.e1,b5fo.e2,b5fo.e3,b5fo.e4,b5fo.e5,b5fo.e6,b5fo.o1,b5fo.o2,b5fo.o3,b5fo.o4,b5fo.o5,b5fo.o6,b5fo.a1,b5fo.a2,b5fo.a3,b5fo.a4,b5fo.a5,b5fo.a6,b5fo.c1,b5fo.c2,b5fo.c3,b5fo.c4,b5fo.c5,b5fo.c6,b5avgn,b5avge,b5avgo,b5avga,b5avgc,b5avgsd,dom.viol,free.pr,free.cl,free.2,prop.rts,indx.dem
30,FRA,32,France,"22,21",1,33,"21,87",UE Balkans,France,1,43.18,9,-0.45537324769896,-0.518170301157851,-0.34112142260630296,-0.39656779440322704,-0.2940218729889881,-0.45537324769896,-0.45537324769896,30093,28758,30100,2.048,49,46,32.7,1.002,94.5,36.67,45.88,30.66,0.66,52.7,48,51.4,51.3,48.4,496,45.44,46.64,49.26,52.29,48.09,93.44,99.49,104.99,97.94,97.66,71,07. May,Apr 66,0,03. Aug,25,0.152,2,0,1,2,2,1,0,1,0,0.56,29. Mar,34.5,08. Sep,01. Aug,0.938,06. Jun,02. Feb,07. Aug,10. Jul,55.1,51.2,54.6,52.1,51.9,53.7,48.1,49.2,46.7,50.5,45.4,49,54.1,52.7,50.9,53.8,52.7,51.9,43,50.1,48.9,49.8,55.4,54.7,42.1,48.3,49.2,48.2,44.7,48,53.9,51.7,52.1,51.2,51.3,51.1,48.4,46.7,47.5,51.5,47.5,47.6,52.4,49.1,49.6,50.2,50.7,54.1,48.1,52.6,50.9,50.7,52.5,51.9,48,48.3,48.9,47,48.4,47.1,55.4,47.3,54.1,52.1,47.4,10. Sep,Jun 94,1,1,2,70,27. Jul
31,GBR,33,United Kingdom,"22,23",7,40,"23,25",UE Balkans,United Kingdom,1,43.98,4,-100.554.883.588.882,-0.8580364567866741,-0.9600689593198979,-0.7849862579790251,-0.7471767471607509,-100.554.883.588.882,-100.554.883.588.882,31308,30314,31400,2.401,51,54,34,1.025,95.8,40.17,57.38,29. Jun,0.95,50.1,53.7,53.5,50.2,48.1,512,49.79,47.31,46.89,51.39,45.97,103.49,99.47,101.49,97.51,94.99,89,Aug 95,04. Aug,0,02. Jan,13,0.16153846153846202,0,0,1,0,1,1,0,1,0,0.81,53.2,49.1,08. Jun,05. Aug,0.9390000000000001,07. Feb,02. Feb,11. Feb,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8,50.6,50.4,48.7,51.9,48.6,53,50.7,51.1,49.8,53.2,53.5,54.4,50.3,55.3,53.2,51.2,55.9,51.6,49.8,52.6,49.1,51.1,49.2,51.3,49,48.8,48.6,49.4,47.8,,,,,,,Aug 37,1,1,2,90,33.5
32,SVN,34,Slovenia,"22,31",-2,32,"21,69",UE Balkans,Slovenia,1,42.52,5,-0.87407402752855,-0.849667987923754,-0.812159799914591,-0.775422293564259,-0.736018788676858,-0.87407402752855,-0.87407402752855,20326,20635,23400,1.999,46,46,24,10.170.000.000.000.000,95.2,46.26,59.45,36.45,0.89,50.6,49.5,48.8,49,52.3,515,50.54,50.18,49.24,45.28,50.5,100.04,99.3,95.88,99.18,101.54,27,5,May 43,,,,,0,0,0,1,2,1,0,1,0,,70.3,31. Jan,12,02. Feb,0.904,06. Mar,02. Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1,50,49.3,49.9,50.2,50,49.4,49.6,49.1,52.1,49,49.7,48.7,49,49.7,47.8,49.5,51,49.9,49.2,50.3,48.8,50.6,47.1,51.4,51.5,51.3,52,51.2,52.1,,,,,,,,1,1,2,60,28. Aug
33,SVK,35,Slovakia,"23,58",-8,27,"20,26",UE Balkans,Slovakia,1,,4,-0.99811019689956,-0.849667987923754,-0.9517004904569781,-0.775422293564259,-0.736018788676858,-0.99811019689956,-0.99811019689956,14310,14410,17700,2.048,48,49,26,0.992,94.3,34.9,44.27,28.52,0.64,49.2,49.7,48.2,50.6,48.6,508,49.05,47.38,42.44,51.57,52.53,98.75,100.73,100.77,97.98,91.04,52,,,,,,,0,0,0,0,2,1,0,1,0,,61.3,30.2,17,14. Jul,0.8490000000000001,05. Jun,02. May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5,51.2,48.6,48,51.4,50.5,51.1,48.8,48,49.7,48,50.1,48.9,47.9,47.8,51.5,47,51.4,49.9,51.6,49.7,49,52.7,49,49.7,50.2,49,47.8,48.4,51,,,,,,,,1,1,2,50,32.9
34,BFA,36,Burkina Faso,"24,53",5,41,"23,33",Afrique,Burkina Faso,4,,24,115.655.441.932.516,115.570.763.370.189,118.618.114.267.486,118.944.577.672.681,123.201.853.599.328,115.655.441.932.516,115.655.441.932.516,1263,1117,1300,1.719,12,13,39.5,0.996,99.3,,,,,53.1,48.8,49.3,51.3,49.7,534,,,,,,,,,,,,,,1,,,,2,3,3,3,2,3,3,3,2,,,,,,0.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,52.9,52.6,55,48.9,50.9,50,50.3,48.2,47.3,50.7,47.8,48.5,50.7,48.1,51.5,50.1,45.3,47.1,48.3,49.2,51.8,50.3,56.3,46.6,49.9,49.1,49.7,48.8,51.2,,,,,,,Jan 79,5,3,8,30,02. Jun
35,AND,37,Andorra,"24,63",0,37,"22,21",UE Balkans,Andorra,1,,3,-10.847.805.145.632,-10.867.127.858.377.300,-104.920.459.782.857,-10.463.306.340.373.800,-0.8899241405607741,-10.847.805.145.632,-10.847.805.145.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,
36,PNG,38,Papua New Guinea,"24,7",15,53,"26,19",Asie-Pacifique,Papua New Guinea,3,,,,0.244679360835825,,0.148270607737016,0.0173141721718522,0.24,0.148270607737016,,2601,,,,,50.9,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,,2,3,0,3,3,,,,,,,,,Aug 66,10. Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mar 61,3,3,6,20,29. Apr
37,TTO,39,Trinidad and Tobago,"24,74",0,39,"22,79",Amériques,Trinidad & Tobago,6,,13,-0.0310148066017686,-0.0407670549235113,-0.00677620643244407,-0.0144589759188179,-0.0103826300918986,-0.0310148066017686,-0.0310148066017686,14903,14661,19700,2.314,11,11,,1.109,95,,,,,,,,,,,,,,,,,,,,,16,,,,,,,2,2,1,2,0,2,0,2,2,,,,,,0.8009999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03. Apr,2,2,4,60,21
38,CZE,40,Czech Republic,"24,89",-6,34,"21,89",UE Balkans,Czech Republic,1,,5,-0.87407402752855,-0.849667987923754,-0.812159799914591,-0.775422293564259,-0.736018788676858,-0.87407402752855,-0.87407402752855,18598,19272,21600,2.122,50,50,26,1.008,95.2,37.52,48.96,29.49,0.81,51.4,48.1,50.4,54.2,51.5,536,50.22,44.09,42.87,51.02,50.59,98.32,100.99,102.42,98.29,94.37,58,7,,0,,,,0,0,0,1,2,1,0,1,0,,68.9,18. Apr,09. Aug,01. Sep,0.8740000000000001,,,,,51.1,51.3,51.9,49,52,59.9,50.5,48.3,47.9,47.8,42.4,52.3,52.4,52,51.6,53.7,49.8,49.9,41,51.7,48.3,48.1,51,50.1,40.3,47.7,50.1,49.7,45.2,49.8,49.8,51.4,48.8,48.7,49.3,51.1,54.3,47.1,48.2,48.1,42.9,48.9,46.1,50.9,51.9,49.7,49.6,52.1,48.7,55.1,54.2,50.9,54,52.9,49,48.3,53.9,50.7,50.3,50.5,54.2,47.4,52.3,50.7,47.5,11. Aug,Apr 62,1,1,2,70,39.3
39,KOR,41,South Korea,"24,94",2,43,"23,51",Asie-Pacifique,South Korea,2,79.45,12,-0.112719626065968,-0.272225667363122,-0.0986941283296679,-0.27898310442123,-0.156839734676657,-0.112719626065968,-0.112719626065968,20901,20161,24200,2.699,37,37,31,1.038,98.1,22.21,30.52,16.22,0.97,48.4,50.7,50.9,50.3,48.3,494,44.86,44.11,40.6,53.99,44.3,95.56,95.2,102.39,94.41,88.9,18,02. Apr,May 54,1,03. May,13,0.269230769230769,0,1,2,3,3,1,0,2,0,,77.3,14. Aug,34.7,13. Jan,0.9009999999999999,05. Aug,02. Jun,,,53.1,50,54.6,56.7,45.9,57.3,41.3,48.5,46,45.6,40.3,43,48.4,52.9,46.5,47.3,48.7,48.9,51.2,52.1,43.2,50.4,46.7,53.3,42.1,47.6,52.8,47.9,44.9,52.5,48.9,48.3,49.4,51.2,48.1,50.4,50.4,52.2,52.9,49.5,49.4,51.9,49.5,50.3,52.9,52,49.7,49.1,52.8,50.4,47.3,51,46.6,50.3,48.4,49.1,49.3,45.7,50.7,50.4,53.6,40,51.4,52.3,48.8,09. Feb,May 91,1,2,3,70,
40,TWN,42,Taiwan,"24,98",0,42,"23,36",Asie-Pacifique,Taiwan,2,70.57,16,0.29904502091630897,0.330550251034326,0.221483069464912,0.246408767963875,0.131808692436521,0.29904502091630897,0.29904502091630897,,,29000,Feb 85,25,24,,01. Feb,,19.22,28.42,14.24,0.8,,,,,,,47.75,44.74,42.52,53.13,45.7,,,,,,17,Mar 85,May 59,1,,,,0,2,3,2,0,3,0,3,3,,66.2,33.2,17. Jan,3,,06. Jun,02. Mar,,,51.1,46.4,52.6,53.9,45.4,56,46.1,46.5,45.6,43.4,41.4,46.8,46.2,54.7,47.4,47.3,46.2,47.1,50.4,51.3,45.4,56.9,45.6,53.1,42.5,47.3,48.9,49.7,45.7,54.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5,42,50.2,54.5,48.1,09. Feb,Jun 14,2,1,3,70,32.4
41,ITA,43,Italy,"24,98",3,46,"24,12",UE Balkans,Italy,1,48.54,15,0.16367543757604,0.17825946977652396,0.35530834832807207,0.39935194380748706,0.310242397587401,0.16367543757604,0.16367543757604,27952,27905,29700,2.296,42,43,32,1.025,94.3,34.37,51.73,21.39,Jan 13,52.6,46.5,52.3,48.1,48.3,488,49.8,46.52,48.62,51.66,50,96.3,102.3,104.26,94.62,96.92,76,06. Aug,Apr 94,1,03. Apr,29,0.11724137931034499,3,0,2,2,2,3,0,1,2,,41.1,29. Sep,15. Jun,10. Feb,0.934,06. Sep,02. Mar,06. May,8,55.1,53.8,53.8,50.1,52.4,55.4,47.6,50.8,48.2,52.6,44.3,46.8,54.1,56.4,49.8,49.9,49.2,47.5,44.6,52.9,48.1,43.6,49.8,48.9,44.1,45,51.3,49.3,48.2,51.9,52.9,52.8,52.1,50.5,53.3,53.4,46.4,46.8,48.1,50.4,46.5,46.4,52.8,52.2,48.4,52.6,50.1,51.3,47,49,48.1,45.7,48.7,49.7,47,47.2,48.2,47.9,48.8,48.1,55.6,46.6,52.6,48.9,50.4,11. Jun,06. Sep,1,1,2,50,36.8
42,BWA,44,Botswana,"25,09",4,48,"25,29",Afrique,Botswana,4,,17,0.412605179439146,0.4583054293725179,0.349238247803104,0.39241468606466495,0.46430330888883203,0.412605179439146,0.412605179439146,7344,9759,,,25,,63,10.090.000.000.000.000,99,27. Feb,33.56,23. Jun,0.39,48.9,46.7,47.7,48,46.8,514,49.56,52.11,50.27,48.61,48.19,96.26,95.89,97.51,100.11,97.07,,,,,,,,0,3,2,2,2,2,2,3,1,,,,,,0.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9,51.5,52.7,50.2,49,51.1,45.6,49,50.9,46.1,50,48.2,47.6,48.6,46.8,51.6,48.4,45,47.2,47.7,43.8,52.8,49.3,47.5,44.7,49.6,44.1,46.2,49.3,50.3,,,,,,,02. Apr,2,2,4,75,9
43,TON,45,Tonga,"25,41",6,51,"25,68",Asie-Pacifique,Tonga,3,,,,,-0.7165934346171411,-0.6662035903671729,-0.44644258961220207,-0.72,-0.6662035903671729,,6555,,,,,,,102.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,1,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,7,20,
44,CHL,46,Chile,"25,65",-8,38,"22,69",Amériques,Chile,6,,9,-0.44528229682921,-0.367277290886997,-0.329769102877834,-0.224118639807965,0.0693231860402069,-0.44528229682921,-0.44528229682921,12505,11468,12700,1.337,33,30,54.9,0.998,97.9,,,,,50,51.7,51.8,50.8,52.2,496,47.55,47.02,49.72,51.39,54.69,99.25,106.49,101.39,97.82,101.92,23,Apr 15,,1,,,,0,0,0,1,3,0,2,1,2,,52.7,51.3,9,11. Mar,0.8540000000000001,,02. Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4,48.7,49.9,47.4,49.2,50.6,49.5,50.7,51.6,50.4,49.1,54.9,52.8,50.3,51.6,49.1,51.8,50.2,53.2,49.6,51.7,51,47.8,52.6,54.1,49.9,52.8,53.6,52.6,50.4,,,,,,,May 27,1,1,2,90,23
45,ROU,47,Romania,"25,67",-3,44,"23,65",UE Balkans,Romania,1,,11,-0.181041945671221,-0.209547586376646,-0.31861476794606003,-0.37084590336295004,-0.42616737877671995,-0.181041945671221,-0.181041945671221,9884,8165,8800,1.985,45,46,32,0.991,95,32.16,48.64,19.48,0.98,,,,,,,50.33,45.31,48.1,48.03,53.13,,,,,,30,5,,1,,,,0,0,0,2,3,2,0,3,1,,29. Jul,17. Feb,24. Feb,03. Sep,0.792,04. Jul,03. Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mar 69,2,2,4,35,20. May
46,USA,48,United States of America,"25,69",-3,45,"23,73",Amériques,United States ,5,44.53,5,-0.8927856874672091,-0.7311779148123578,-0.833210417345583,-0.640005067151236,-0.5780320245283299,-0.8927856874672091,-0.8927856874672091,39901,39319,43500,1.517,41,38,45,0.996,97.1,37.05,48.03,29.24,0.73,48.1,52.2,50.4,49.1,48.8,504,50,50,50,50,50,102.2,100.4,98.1,99.1,98.8,91,Sep 55,Apr 25,0,,,,0,0,0,0,1,1,0,1,2,1,61.1,32,8,16. Apr,0.9440000000000001,07. Apr,02. Jan,12. Feb,11. Aug,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,49.1,50.1,48.5,47.9,50,48.4,51.3,51.2,51.8,48.9,54.2,50.7,51.4,48.8,51.5,49.2,51.3,52.5,50.7,49.7,51.3,49.6,50.7,48,51,49.4,48.5,49.5,50.8,49,50,50,50,50,50,10,Jul 56,1,1,2,90,34.4
47,SEN,49,Senegal,"25,81",1,50,"25,61",Afrique,Senegal,4,,20,0.7156228682471469,0.7992003292815191,0.6901331477121049,0.7820088573892379,0.7566754634327779,0.7156228682471469,0.7156228682471469,,1558,,,,,41.3,,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,2,2,3,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mar 64,2,3,5,50,09. Mar
48,GUY,51,Guyana,"26,63",4,55,"26,25",Amériques,Guyana,6,,,,0.6785596946384088,,0.6441338463685411,0.5958212839086321,0.68,0.6441338463685411,,4331,,,,,43.2,,103.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,,1,3,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May 38,2,3,5,40,21. Jan
49,FJI,52,Fiji,"27,18",5,57,"26,55",Asie-Pacifique,Fiji,3,,12,-0.0746614639584216,-0.229410234992133,-0.19893672601916002,-0.39354607320922097,-0.29049653159598,-0.0746614639584216,-0.0746614639584216,6240,5783,,,18,,,1.003,103,38.58,54.3,25.26,0.87,,,,,,,49.68,49.27,46,48.03,47.21,,,,,,,,,,,,,0,0,2,3,0,1,0,3,3,Jan 77,,,,,0.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,10,30,26. Jul
50,BLZ,53,Belize,"27,5",-6,47,"24,55",Amériques,Belize,5,,,,,,0.28066611295603194,0.17177559492737196,0.28,0.28066611295603194,,6738,,,,,,,101.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,,3,3,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,50,13. Aug
51,MDG,54,Madagascar,"27,76",0,54,"26,2",Afrique,Madagascar,4,,19,0.626309340743352,0.5591819202973629,0.589655429270335,0.507702104264488,0.43665091812057005,0.626309340743352,0.626309340743352,,817,,,,,47.5,,99.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,3,2,3,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feb 77,3,3,6,50,12. Mar
52,DOM,55,Dominican Republic,"27,9",4,59,"26,79",Amériques,Dominican Republic,5,,,,0.00165131619694227,,-0.129475728993136,-0.144568842011936,0,-0.129475728993136,,7173,,,,,49.9,,101.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,,2,2,0,3,2,,,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May 99,2,2,4,30,19. Jan
53,COM,56,Comoros,"27,91",-7,49,"25,3",Afrique,Comoros,4,,,,,-0.0726647015292435,-0.249235188077888,-0.44644258961220207,-0.07,-0.249235188077888,,1696,,,,,,,100.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,3,0,3,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,7,30,0
54,ARG,57,Argentina,"28,3",-5,52,"26,05",Amériques,Argentina,6,51.04,12,-0.12368573373280499,-0.145021847945927,0.0320270306056215,0.0298875806961141,0.20350939796024398,-0.12368573373280499,-0.12368573373280499,13331,12301,15000,1.168,34,34,49,1.001,96.2,40.74,55.52,30. Jan,0.9,51.3,52.3,46.1,50.6,50,497,49.1,42.75,48.18,55.05,50.83,101.4,96.93,106.35,93.35,98.18,46,04. Aug,May 51,1,,,,2,0,1,2,1,1,2,1,2,,36.3,30. Mar,04. May,8,0.863,06. Aug,02. May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,49.2,51.8,48.2,51.6,52.1,47,51.6,48.6,51.4,49.5,53.2,50.7,45.9,47.4,47.5,46.8,48.8,49.4,51.2,51.3,48.9,54.3,51.5,50.6,47.6,51.1,52.6,52,48,,,,,,,Jun 75,2,2,4,20,26. Jan
55,MUS,58,Mauritius,"28,46",-2,56,"26,45",Afrique,Mauritius,4,,15,,,0.102297167389908,0.11019630844958501,-0.0271058436634839,0.1,0.11019630844958501,,11974,,,,,39,,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,2,0,3,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feb 71,1,2,3,60,25. May
56,POL,59,Poland,"28,89",-1,58,"26,59",UE Balkans,Poland,1,36.96,5,-0.87407402752855,-0.849667987923754,-0.812159799914591,-0.775422293564259,-0.736018788676858,-0.87407402752855,-0.87407402752855,12647,12955,14100,2.102,52,52,34.9,0.991,93.6,34.21,44.29,26. Sep,0.68,50.7,49.2,48.6,48.5,49.4,515,49.12,46.74,46.15,51.8,49.06,98.32,97.66,102.5,95.24,95.55,60,5,May 52,1,0.3,19,0.0157894736842105,0,0,0,1,2,1,0,1,0,,22. Feb,41.2,17. Feb,08. Jun,0.858,05. Sep,02. Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,49.3,51.4,52.2,52.4,50.5,49.8,49.3,49.5,50.4,47.8,48.1,49.4,48.1,49.2,50.3,49.8,48,49.7,49.3,47.6,48.5,49,46.8,48.3,51.5,48.4,49.9,48.5,47.9,,,,,,,05. Jul,1,1,2,50,20. Aug
57,GEO,60,Georgia,"28,98",1,61,"27,34",EEAC,Georgia,1,,14,0.10336200025643302,0.11040685279196599,0.14439770128303303,0.158311204327442,0.029028201527348998,0.10336200025643302,0.10336200025643302,3270,2878,3800,1.824,,42,40.8,0.9279999999999999,89.5,,,,,,,,,,,,,,,,,,,,,,,Jun 19,,,,,2,0,0,2,3,3,0,2,2,,,22. Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,6,35,13. Jul
58,ARM,61,Armenia,"28,98",19,80,"29,99",EEAC,Armenia,1,,14,0.0950089219070121,0.10100963964886699,0.135000488139934,0.14757153216389998,0.178652962671273,0.0950089219070121,0.0950089219070121,,4316,,,,,37,,87.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,2,3,2,0,2,2,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,9,35,16. Feb
59,HTI,62,Haiti,29,-2,60,"26,82",Amériques,Haiti,5,,,,0.108711861246959,,-0.007120820364544809,-0.0018214486119132699,0.11,-0.007120820364544809,,1782,,,,,59.2,,97.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,,2,2,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May 28,4,5,9,10,02. Sep
60,BIH,63,Bosnia and Herzegovina,"29,02",-1,62,"27,37",UE Balkans,Bosnia & Herzo.,1,,13,0.00361215949381756,-0.00181171806597687,0.0321791304250904,0.0300614090612214,-0.120596559616575,0.00361215949381756,0.00361215949381756,,6148,,,,,56.2,,92.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,2,3,3,0,2,2,,,42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,6,10,26. Jan
61,HRV,64,Croatia,"29,03",5,69,"28,94",UE Balkans,Croatia,1,,9,-0.44103991817345894,-0.362504614899276,-0.468054456950596,-0.38215904446255,-0.439366043392919,-0.44103991817345894,-0.44103991817345894,11406,12187,13200,1.901,46,45,29,0.9890000000000001,92.8,42.98,57.35,32.15,0.95,49.3,50.9,49.1,48.4,50.3,514,51.7,45.2,46.02,46.16,48,102.6,97.1,95.46,93.6,96.32,33,,,1,,,,0,0,1,1,3,2,0,2,0,,63.6,21. Mar,19. May,05. Sep,0.841,05. Sep,02. May,,,50.5,52.2,52.1,51.8,46.7,50.5,43,49.6,45.3,51.7,44.7,48,48.9,53.2,47.7,44.5,49.7,44.9,45.5,46.2,47.6,47,48.5,50.6,47.6,50.2,51.5,54.6,48.5,51.8,48.8,51,49,47.9,51.5,48.5,47.4,50.5,50.2,51.2,48.7,51.4,50.4,48.4,50.6,48.6,49.5,50.9,50.2,49.1,50.7,47.8,50.5,48.5,50.6,50.5,49.5,52.4,49.7,48.3,52.8,45.1,49,47.5,53.2,10. Aug,,2,2,4,30,28. Jul
62,GRC,65,Greece,"29,08",9,74,"29,19",UE Balkans,Greece,1,,14,0.0759491476319543,0.07956739358942701,0.256616272140976,0.286560999593662,0.178652962671273,0.0759491476319543,0.0759491476319543,21437,22790,23500,1.913,38,39,33,0.998,98.1,32.38,43.43,24.32,Jan 18,,,,,,,48.6,52.42,47.45,53.19,51.53,,,,,,35,May 25,May 27,1,04. Apr,28,0.157142857142857,3,0,0,2,3,3,0,1,2,,58.3,10. Aug,14. Apr,03. Mar,0.912,,02. Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jun 68,1,2,3,50,36.1
63,NER,66,Niger,"29,26",-3,63,"27,4",Afrique,Niger,4,,18,0.5095012930417671,0.567313557175466,0.45824637560605197,0.516995403553749,0.609647479292763,0.5095012930417671,0.5095012930417671,,832,,,,,50.5,,100.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,1,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02. Feb,3,3,6,30,07. Jun
64,JPN,67,Japan,"29,36",0,67,"28,64",Asie-Pacifique,Japan,2,80.25,17,0.42502047808715604,0.332731949809142,0.36320545878211496,0.248902137992236,0.296872002804331,0.42502047808715604,0.42502047808715604,30039,29619,33100,2.532,36,36,38.1,1.014,95.3,24. Jan,32.47,20.72,0.63,50.7,49.4,51.2,48.8,49.5,486,46.73,42.21,37.82,57.87,41.53,96.13,92.73,108.57,91.01,87.32,46,04. Mar,Apr 63,1,02. Jan,13,0.16153846153846202,0,2,2,3,2,2,0,3,3,Jan 42,81.8,06. May,,01. Jul,0.943,06. Feb,02. Jan,Jan 43,5,56,52.4,56.7,53.5,52.3,62.6,41.3,47.2,45.3,45.4,44.5,46,52.2,52.6,48.4,51.2,49.2,43.9,47.9,49.7,35.9,51.2,46.4,44.7,34.9,45.6,43.2,45.9,39.8,48,50.7,50.1,51.1,48.9,50.4,52.9,49.6,49.9,51.1,52.5,50,50.2,49.8,52.6,51.8,52.4,49.5,46.1,50.4,51.5,44.4,52.3,46.6,46.6,48,48.6,48.9,50.6,48.9,47.9,55.3,41.7,51.7,47.7,42.6,09. Jul,May 57,1,2,3,70,24. Apr
